'id_car_equipment','name','date_create','date_update','id_car_modification','price_min','id_car_type','year'
'282','Elite','1463946785','0','187887',NULL,'1','2013'
'283','Hi-Tech','1463946785','0','187887',NULL,'1','2013'
'284','Hi-Tech','1463946785','0','187887',NULL,'1','2012'
'285','Elite','1463946786','0','187887',NULL,'1','2012'
'286','Hi-Tech','1463946786','0','187891',NULL,'1','2012'
'287','Elite','1463946786','1506702137','187891',NULL,'1',NULL
'288','Hi-Tech','1463946786','0','187891',NULL,'1','2013'
'289','Elegance','1463946788','0','187895',NULL,'1','2012'
'290','Premium','1463946788','0','187895',NULL,'1','2012'
'291','Premium+Roof rail','1463946788','1506702143','187895',NULL,'1',NULL
'292','Elite','1463946788','0','187895',NULL,'1','2012'
'293','Hi -Tech','1463946788','0','187895',NULL,'1','2012'
'294','Elite+Roof rail','1463946788','1506702146','187895',NULL,'1',NULL
'295','Elegance','1463946788','0','187895',NULL,'1','2013'
'296','Premium','1463946788','0','187895',NULL,'1','2013'
'297','Hi-tech+ Roof rail','1463946788','1506702148','187895',NULL,'1',NULL
'298','Elite','1463946789','0','187895',NULL,'1','2013'
'299','Hi-tech','1463946789','0','187895',NULL,'1','2013'
'300','Elegance+Roof rail','1463946789','1506702151','187895',NULL,'1',NULL
'301','Base','1463946792','1503352774','5867',NULL,'1','2015'
'302','Elegance','1463946792','1505767746','5867','1645000','1','2015'
'304','Elegance + NAVI','1463946792','1505767748','5867','1782000','1','2015'
'305','Premium','1463946792','1505767748','5867','1852000','1','2015'
'306','Business + NAVI','1463946793','1474074566','5867',NULL,'1','2014'
'307','Premium + NAVI','1463946793','1505767749','5867','1987000','1','2015'
'308','Elite','1463946793','1505767750','5867','2022000','1','2015'
'309','GT','1463946793','1505767750','5867','2112000','1','2015'
'310','Hi-Tech','1463946793','1505767751','5867','2162000','1','2015'
'311','Hi-Tech +','1463946793','1505767751','5867','2282000','1','2015'
'312','Sport','1463946793','0','5870',NULL,'1',NULL
'313','Sport + NAVI','1463946794','0','5870',NULL,'1',NULL
'314','Hi-Tech','1463946794','0','5870',NULL,'1',NULL
'315','Hi-Tech +','1463946794','0','5870',NULL,'1',NULL
'316','Elegance','1463946795','1479522975','5883',NULL,'1','2015'
'317','Elegance + NAVI','1463946796','1479522978','5883',NULL,'1','2015'
'318','Sport','1463946796','1479522979','5883',NULL,'1','2015'
'319','Sport Black','1463946796','1479522982','5883',NULL,'1','2015'
'320','Sport Black + NAVI','1463946796','1479522976','5883',NULL,'1','2015'
'321','Sport + NAVI','1463946796','0','5883',NULL,'1',NULL
'322','Sport Pack','1463946796','1506702180','5883',NULL,'1',NULL
'323','S Design','1463946797','0','5883',NULL,'1',NULL
'324','Premium','1463946797','1479522992','5884',NULL,'1','2015'
'325','Premium+NAVI','1463946797','1479522993','5884',NULL,'1','2015'
'326','Sport + NAVI','1463946797','1479522990','5884',NULL,'1','2015'
'327','Hi-tech + Black quartz','1463946797','1479522992','5884',NULL,'1','2015'
'328','Sport','1463946797','1479522990','5884',NULL,'1','2015'
'329','Hi-tech','1463946797','1479522991','5884',NULL,'1','2015'
'330','S Design','1463946798','0','5884',NULL,'1',NULL
'331','Sport Pack','1463946798','1506702194','5884',NULL,'1',NULL
'332','Hi-tech','1463946798','1479522999','5885',NULL,'1','2015'
'333','Hi-tech + Black Quartz','1463946798','1479522999','5885',NULL,'1','2015'
'2055','Executive','1464000786','0','17958',NULL,'1','2013'
'2056','Sport','1464000786','0','17958',NULL,'1','2013'
'2057','Elegance','1464000787','0','17958',NULL,'1','2013'
'2058','Executive + NAVI','1464000788','0','17958',NULL,'1','2013'
