'id_car_option','name','id_parent','date_create','date_update','id_car_type'
'2','Гидроусилитель руля','1','1464484023','1492041108','1'
'3','Регулировка рулевой колонки по углу наклона','1','1464484023','1492041108','1'
'4','Регулировка рулевой колонки по вылету','1','1464484023','1492041109','1'
'5','Датчики дождя и света','1','1464484023','1492041109','1'
'6','Омыватели фар','1','1464484023','1492041109','1'
'7','Электропривод задних стекол','1','1464484023','1492041110','1'
'9','Электропривод боковых зеркал','1','1464484023','1492041110','1'
'12','Климат-контроль','11','1464484023','1492041111','1'
'13','Обогрев лобового стекла','11','1464484023','1492041112','1'
'14','Обогрев боковых зеркал','11','1464484023','1492041112','1'
'15','Обогрев передних сидений','11','1464484023','1492041112','1'
'16','Охлаждаемый перчаточный ящик','11','1464484023','1492041112','1'
'18','Бортовой компьютер','17','1464484023','1492041113','1'
'19','Управление аудиосистемой на руле','17','1464484023','1492041113','1'
'20','6 динамиков','17','1464484023','1492041114','1'
'21','CD-проигрыватель','17','1464484023','1492041114','1'
'22','Поддержка MP3','17','1464484023','1492041114','1'
'25','Иммобилайзер','23','1464484023','1492041214','1'
'27','Подушки безопасности водителя','26','1464484023','1492041214','1'
'28','Подушки безопасности пассажира','26','1464484023','1492041215','1'
'29','Подушки безопасности боковые передние','26','1464484023','1492041215','1'
'30','Подушки безопасности занавесочного типа','26','1464484023','1491940370','1'
'31','Крепление для детского сиденья ISOFIX','26','1464484023','1492041215','1'
'33','Антиблокировочная система тормозов (ABS)','32','1464484023','1492041216','1'
'34','Система курсовой устойчивости (ESP)','32','1464484023','1492041216','1'
'35','Система распределения тормозных усилий','32','1464484023','1492041217','1'
'36','Круиз-контроль','32','1464484023','1492041217','1'
'37','Датчики парковки сзади','32','1464484023','1492041217','1'
'39','Легкосплавные колесные диски','38','1464484023','1492041218','1'
'40','Рейлинги на крыше','38','1464484023','1492041218','1'
'41','Окраска кузова металлик','38','1464484023','1492041218','1'
'44','Противотуманные фары','43','1464484023','1492041219','1'
'47','Тканевая обивка салона','46','1464484023','1492041136','1'
'48','Кожаный руль и ручка КПП','46','1464484023','1492041137','1'
'57','Боковые зеркала в цвет кузова','38','1464484024','1492041231','1'
'59','Дверные ручки в цвет кузова','38','1464484024','1492041232','1'
'70','Датчик дождя','1','1464484025','1492041235','1'
'78','Ксеноновые фары','43','1464484026','1492041237','1'
'79','Окраска кузова перламутр','38','1464484027','1492041237','1'
'80','Электропривод водительского сиденья','1','1464484027','1492041238','1'
'81','Электропривод пассажирского сиденья','1','1464484027','1492041238','1'
'82','CD-чейнджер','17','1464484027','1492041238','1'
'83','Коммуникационная система Bluetooth','17','1464484027','1492041239','1'
'85','Биксеноновые фары','43','1464484027','1492041239','1'
'86','Кожаная обивка салона','46','1464484027','1492041239','1'
'96','Хромированная насадка на выхлопную трубу','38','1464484030','1492041242','1'
'98','Регулировка рулевой колонки по высоте','1','1464484033','1492041220','1'
'102','Обогрев заднего стекла','11','1464484033','1492041221','1'
'107','Система RDS','17','1464484033','1492041223','1'
'110','Центральный замок','23','1464484033','1492041223','1'
'129','Галогенные фары','43','1464484033','1492041333','1'
'130','Передние противотуманные фары','43','1464484033','1492041333','1'
'136','Запасное колесо полноразмерное','135','1464484033','1492041335','1'
'143','USB порт','17','1464484034','1492041337','1'
'149','Хромированные ручки открывания дверей','38','1464484034','1492041243','1'
'156','Электрорегулируемые зеркала заднего вида с обогревом','1','1464484037','1491940751','1'
'159','Разъем для подключения внешнего аудиоустройства','17','1464484037','1492041350','1'
'162','Помощь при экстренном торможении','32','1464484037','1492041351','1'
'171','Кожаная отделка рулевого колеса','1','1464484039','1492041354','1'
'176','Карманы на спинках передних сидений','46','1464484040','1492041355','1'
'178','Кожаный руль','1','1464484043','1492041356','1'
'180','Антипробуксовочная система (ASR)','32','1464484043','1492041356','1'
'181','Запасное колесо малоразмерное','135','1464484043','1491940371','1'
'185','Ремни безопасности с ограничителем нагрузки','26','1464484055','1492041358','1'
'194','Кондиционер','11','1464484058','1492041360','1'
'196','4 динамика','17','1464484058','1492041360','1'
'197','Сигнализация','23','1464484058','1492041361','1'
'200','Передние ремни безопасности с регулировкой по высоте','26','1464484058','1492041362','1'
'202','Электронная система распределения тормозных усилий (EBD)','32','1464484058','1492041362','1'
'212','Фронтальные подушки безопасности','26','1464484059','1492041342','1'
'213','Блокировка задних дверей (защита для детей)','26','1464484059','1492041342','1'
'215','Тканевая обивка сидений','46','1464484060','1492041343','1'
'216','Передний подлокотник','46','1464484060','1492041343','1'
'218','Преднатяжители ремней безопасности','26','1464484060','1492041343','1'
'225','Подушка безопасности для коленей водителя','26','1464484063','1492041345','1'
'226','Шторки безопасности','26','1464484063','1492041346','1'
'228','Панорамная крыша','38','1464484063','1492041346','1'
'232','Датчик света','43','1464484063','1492041347','1'
'235','Кожаная ручка КПП','46','1464484063','1492041348','1'
'236','Автоматически затемняющееся внутреннее зеркало заднего вида','46','1464484063','1491940372','1'
'245','Подушки безопасности занавесочного типа передние','26','1464484068','1491940476','1'
'249','Мультифункциональное рулевое колесо','1','1464484080','1491940474','1'
'250','Автоматически затемняющиеся, складывающиеся зеркала заднего вида с электроприводом','1','1464484080','1498772190','1'
'252','Память настроек сиденья водителя','1','1464484080','1492041457','1'
'253','Климат-контроль двухзонный','11','1464484080','1492041457','1'
'254','Обогрев задних сидений','11','1464484080','1492041458','1'
'255','Навигационная система с жестким диском','17','1464484080','1492041458','1'
'256','Сабвуфер','17','1464484080','1492041458','1'
'257','8 динамиков','17','1464484080','1492041458','1'
'258','Многофункциональный цветной дисплей','17','1464484080','1492041459','1'
'260','Подушка безопасности пассажира с функцией деактивации','26','1464484080','1492041459','1'
'261','Подушки безопасности боковые задние','26','1464484080','1492041459','1'
'262','Датчики парковки спереди','32','1464484080','1492041460','1'
'264','Система контроля давления в шинах','32','1464484080','1492041363','1'
'265','Система регулировки жесткости подвески','32','1464484080','1492041363','1'
'266','Система адаптивного освещения дороги','43','1464484080','1492041363','1'
'318','Накладки на пороги','38','1464484083','1492041461','1'
'322','Центральный подлокотник сзади','46','1464484083','1492041462','1'
'336','Электрогидроусилитель руля','1','1464484085','1491940752','1'
'339','Передние и задние подголовники','26','1464484085','1492041467','1'
'345','Внутреннее зеркало заднего вида с механическим затемнением','46','1464484085','1492041469','1'
'347','Алюминиевые накладки на педалях','46','1464484085','1492041574','1'
'400','Воздуховоды для пассажиров заднего ряда','11','1464484119','1492041599','1'
'407','Сигнализатор о непристегнутых ремнях','26','1464484119','1492040753','1'
'409','Камера заднего вида','32','1464484119','1492041601','1'
'420','Светодиодные дневные ходовые огни','43','1464484120','1492041605','1'
'455','Датчики парковки спереди и сзади','32','1464484121','1492041590','1'
'464','Система помощи при старте на подъеме','32','1464484143','1492041694','1'
'472','Кожаная обивка сидений','46','1464484143','1492041696','1'
'492','Багажная сетка','1','1464484163','1492041711','1'
'493','Шторка багажного отделения','1','1464484163','1492041712','1'
'494','Электропривод складывания зеркал','1','1464484163','1492041712','1'
