'id_car_option_value','is_base','id_car_option','id_car_equipment','date_create','date_update','id_car_type'
'17476','1','2','282','1464484345','0','1'
'17477','1','3','282','1464484345','0','1'
'17478','1','977','282','1464484345','0','1'
'17479','1','978','282','1464484345','0','1'
'17480','1','979','282','1464484345','0','1'
'17481','1','70','282','1464484345','0','1'
'17482','1','980','282','1464484345','0','1'
'17483','1','981','282','1464484345','0','1'
'17484','1','982','282','1464484345','0','1'
'17485','1','759','282','1464484345','0','1'
'17486','1','983','282','1464484345','0','1'
'17487','1','984','282','1464484345','0','1'
'17488','1','985','282','1464484345','0','1'
'17489','1','986','282','1464484345','0','1'
'17490','1','614','282','1464484345','0','1'
'17491','1','987','282','1464484345','0','1'
'17492','1','957','282','1464484345','0','1'
'17493','1','156','282','1464484345','0','1'
'17494','1','494','282','1464484345','0','1'
'17495','1','988','282','1464484345','0','1'
'17496','1','958','282','1464484345','0','1'
'17497','1','989','282','1464484345','0','1'
'17498','1','855','282','1464484345','0','1'
'17499','1','990','282','1464484345','0','1'
'17500','1','991','282','1464484345','0','1'
'17501','1','992','282','1464484345','0','1'
'17502','1','499','282','1464484345','0','1'
'17503','1','253','282','1464484345','0','1'
'17504','1','993','282','1464484345','0','1'
'17505','1','13','282','1464484345','0','1'
'17506','1','994','282','1464484345','0','1'
'17507','1','995','282','1464484345','0','1'
'17508','0','996','282','1464484345','1464845181','1'
'17509','0','997','282','1464484345','1464845182','1'
'17510','1','998','282','1464484345','0','1'
'17511','1','999','282','1464484345','0','1'
'17512','1','1000','282','1464484345','0','1'
'17513','1','19','282','1464484345','0','1'
'17514','1','1001','282','1464484346','0','1'
'17515','1','1002','282','1464484346','0','1'
'17516','1','143','282','1464484346','0','1'
'17517','1','960','282','1464484346','0','1'
'17518','1','1003','282','1464484346','0','1'
'17519','1','83','282','1464484346','0','1'
'17520','1','1004','282','1464484346','0','1'
'17521','0','1005','282','1464484346','1464845182','1'
'17522','0','1006','282','1464484346','1464845182','1'
'17523','0','1007','282','1464484346','1464845182','1'
'17524','0','1008','282','1464484346','1464845182','1'
'17525','0','1009','282','1464484346','1464845182','1'
'17526','1','1010','282','1464484346','0','1'
'17527','1','1011','282','1464484346','0','1'
'17528','1','1012','282','1464484346','0','1'
'17529','1','1013','282','1464484346','0','1'
'17530','1','1014','282','1464484346','0','1'
'17531','1','25','282','1464484346','0','1'
'17532','1','1015','282','1464484346','0','1'
'17533','1','1016','282','1464484346','0','1'
'17534','1','1017','282','1464484346','0','1'
'17535','1','1018','282','1464484346','0','1'
'17536','1','213','282','1464484346','0','1'
'17537','1','31','282','1464484346','0','1'
'17538','1','1019','282','1464484346','0','1'
'17539','1','1020','282','1464484346','0','1'
'17540','1','339','282','1464484346','0','1'
'17541','1','896','282','1464484346','0','1'
'17542','1','1021','282','1464484346','0','1'
'17543','1','185','282','1464484346','0','1'
'17544','1','1022','282','1464484346','0','1'
'17545','1','200','282','1464484346','0','1'
'17546','1','218','282','1464484346','0','1'
'17547','1','1023','282','1464484346','0','1'
'17548','1','1024','282','1464484346','0','1'
'17549','1','1025','282','1464484346','0','1'
'17550','1','1026','282','1464484346','0','1'
'17551','1','455','282','1464484346','0','1'
'17552','1','409','282','1464484346','0','1'
'17553','1','202','282','1464484346','0','1'
'17554','1','36','282','1464484346','0','1'
'17555','1','1027','282','1464484346','0','1'
'17556','1','1028','282','1464484346','0','1'
'17557','1','1029','282','1464484346','0','1'
'17558','1','1030','282','1464484346','0','1'
'17559','1','589','282','1464484346','0','1'
'17560','1','1031','282','1464484346','0','1'
'17561','1','1032','282','1464484346','0','1'
'17562','1','1033','282','1464484346','0','1'
'17563','1','1034','282','1464484346','0','1'
'17564','1','1035','282','1464484346','0','1'
'17565','1','1036','282','1464484346','0','1'
'17566','1','945','282','1464484346','0','1'
'17567','1','1037','282','1464484346','0','1'
'17568','1','1038','282','1464484346','0','1'
'17569','1','1039','282','1464484346','0','1'
'17570','1','1040','282','1464484346','0','1'
'17571','1','78','282','1464484346','0','1'
'17573','1','130','282','1464484346','0','1'
'17574','1','1041','282','1464484346','0','1'
'17575','1','1042','282','1464484346','0','1'
'17576','1','901','282','1464484346','0','1'
'17577','1','232','282','1464484346','0','1'
'17578','1','1043','282','1464484346','0','1'
'17579','1','1044','282','1464484346','0','1'
'17580','1','1045','282','1464484346','0','1'
'17581','1','1046','282','1464484346','0','1'
'17582','1','1047','282','1464484346','0','1'
'17583','1','86','282','1464484346','0','1'
'17584','1','1048','282','1464484346','0','1'
'17585','1','472','282','1464484346','0','1'
'17586','1','235','282','1464484346','0','1'
'17587','1','236','282','1464484346','0','1'
'17588','1','1049','282','1464484346','0','1'
'17589','1','216','282','1464484346','0','1'
'17590','1','176','282','1464484346','0','1'
'17591','1','1050','282','1464484346','0','1'
'17592','1','1051','282','1464484346','0','1'
'17593','0','1052','282','1464484346','1464845183','1'
'17594','0','1053','282','1464484346','1464845183','1'
'17595','1','1054','282','1464484346','0','1'
'17596','1','2','283','1464484347','0','1'
'17597','1','3','283','1464484347','0','1'
'17598','1','977','283','1464484347','0','1'
'17599','1','978','283','1464484347','0','1'
'17600','1','979','283','1464484347','0','1'
'17601','1','70','283','1464484347','0','1'
'17602','1','980','283','1464484347','0','1'
'17603','1','981','283','1464484347','0','1'
'17604','1','982','283','1464484347','0','1'
'17605','1','759','283','1464484347','0','1'
'17606','1','983','283','1464484347','0','1'
'17607','1','984','283','1464484347','0','1'
'17608','1','985','283','1464484347','0','1'
'17609','1','986','283','1464484347','0','1'
'17610','1','614','283','1464484347','0','1'
'17611','1','987','283','1464484347','0','1'
'17612','1','957','283','1464484347','0','1'
'17613','1','156','283','1464484347','0','1'
'17614','1','494','283','1464484347','0','1'
'17615','1','988','283','1464484347','0','1'
'17616','1','958','283','1464484347','0','1'
'17617','1','989','283','1464484347','0','1'
'17618','1','855','283','1464484347','0','1'
'17619','1','990','283','1464484347','0','1'
'17620','1','991','283','1464484347','0','1'
'17621','1','992','283','1464484347','0','1'
'17622','1','499','283','1464484347','0','1'
'17623','1','253','283','1464484347','0','1'
'17624','1','993','283','1464484347','0','1'
'17625','1','13','283','1464484347','0','1'
'17626','1','994','283','1464484347','0','1'
'17627','1','995','283','1464484347','0','1'
'17628','0','996','283','1464484347','1464845184','1'
'17629','0','997','283','1464484347','1464845184','1'
'17630','1','998','283','1464484347','0','1'
'17631','1','999','283','1464484347','0','1'
'17632','1','1055','283','1464484347','0','1'
'17633','1','1000','283','1464484347','0','1'
'17634','1','19','283','1464484347','0','1'
'17635','1','1001','283','1464484347','0','1'
'17636','1','1002','283','1464484347','0','1'
'17637','1','143','283','1464484347','0','1'
'17638','1','960','283','1464484347','0','1'
'17639','1','1003','283','1464484347','0','1'
'17640','1','83','283','1464484347','0','1'
'17641','1','1004','283','1464484347','0','1'
'17642','0','1005','283','1464484347','1464845184','1'
'17643','0','1006','283','1464484347','1464845184','1'
'17644','0','1007','283','1464484347','1464845184','1'
'17645','0','1008','283','1464484348','1464845184','1'
'17646','0','1009','283','1464484348','1464845184','1'
'17647','1','1010','283','1464484348','0','1'
'17648','1','1011','283','1464484348','0','1'
'17649','1','1012','283','1464484348','0','1'
'17650','1','1013','283','1464484348','0','1'
'17651','1','1014','283','1464484348','0','1'
'17652','1','25','283','1464484348','0','1'
'17653','1','1015','283','1464484348','0','1'
'17654','1','1016','283','1464484348','0','1'
'17655','1','1017','283','1464484348','0','1'
'17656','1','1018','283','1464484348','0','1'
'17657','1','213','283','1464484348','0','1'
'17658','1','31','283','1464484348','0','1'
'17659','1','1019','283','1464484348','0','1'
'17660','1','1020','283','1464484348','0','1'
'17661','1','339','283','1464484348','0','1'
'17662','1','896','283','1464484348','0','1'
'17663','1','1021','283','1464484348','0','1'
'17664','1','185','283','1464484348','0','1'
'17665','1','1022','283','1464484348','0','1'
'17666','1','200','283','1464484348','0','1'
'17667','1','218','283','1464484348','0','1'
'17668','1','1023','283','1464484348','0','1'
'17669','1','1024','283','1464484348','0','1'
'17670','1','1025','283','1464484348','0','1'
'17671','1','1026','283','1464484348','0','1'
'17672','1','455','283','1464484348','0','1'
'17673','1','1056','283','1464484348','0','1'
